unix_timestamp,value
1631876400,23.66
1631880000,25.185
1631883600,25.56
1631887200,25.33
1631890800,25.275
1631894400,26.48
1631898000,23.555
1631901600,21.64
1631905200,21.595
1631908800,21.11
1631912400,18.61
1631916000,17.855
1631919600,17.245
1631923200,16.64
1631926800,16.735
1631930400,16.05
1631934000,15.45
1631937600,14.96
1631941200,15.495
1631944800,20.78
1631948400,23.885
1631952000,25.24
1631955600,26.365
1631959200,25.795
1631962800,25.28
1631966400,26.005
1631970000,24.79
1631973600,24.57
1631977200,23.92
1631980800,23.84
1631984400,21.135
1631988000,18.495
1631991600,17.34
1631995200,17.14
1631998800,16.575
1632002400,17.625
1632006000,18.1
1632009600,16.95
1632013200,17.385
1632016800,16.9
1632020400,15.835
1632024000,14.915
1632027600,14.66
1632031200,19.62
1632034800,20.58
1632038400,23.395
1632042000,21.72
1632045600,20.15
1632049200,21.945
1632052800,23.2
1632056400,22.925
1632060000,26.42
1632063600,26.65
1632067200,25.305
1632070800,21.925
1632074400,19.825
1632078000,17.755
1632081600,17.195
1632085200,16.675
1632088800,19.285
1632092400,17.78
1632096000,17.16
1632099600,15.855
1632103200,13.725
1632106800,13.085
1632110400,14.44
1632114000,14.615
1632117600,17.795
1632121200,21.055
1632124800,22.725
1632128400,23.96
1632132000,24.82
1632135600,24.235
1632139200,24.64
1632142800,24.58
1632146400,23.915
1632150000,23.445
1632153600,21.69
1632157200,20.03
1632160800,18.765
1632164400,17.995
1632168000,17.225
1632171600,16.755
1632175200,15.82
1632178800,15.305
1632182400,15.6
1632186000,15.66
1632189600,14.81
1632193200,14.955
1632196800,14.24
1632200400,14.285
1632204000,15.45
1632207600,16.215
1632211200,18.805
1632214800,18.74
1632218400,19.475
1632222000,21.62
1632225600,21.84
1632229200,19.445
1632232800,21.875
1632236400,22.24
1632240000,21.67
1632243600,16.795
1632247200,13.73
1632250800,13.465
1632254400,12.81
1632258000,12.43
1632261600,12.38
1632265200,12.325
1632268800,12.05
1632272400,11.9
1632276000,11.66
1632279600,11.32
1632283200,10.995
1632286800,11.025
1632290400,14.35
1632294000,17.5
1632297600,20.315
1632301200,21.245
1632304800,22.42
1632308400,22.82
1632312000,23.105
1632315600,23.82
1632319200,23.73
1632322800,22.005
1632326400,20.56
1632330000,18
1632333600,13.905
1632337200,13.045
1632340800,12.695
1632344400,11.985
1632348000,11.93
1632351600,11.82
1632355200,11.6
1632358800,11.445
1632362400,11.365
1632366000,11.765
1632369600,12.295
1632373200,13.235
1632376800,16.295
1632380400,19.285
1632384000,21.63
1632387600,22.745
1632391200,23.49
1632394800,23.95
1632398400,24.465
1632402000,24.91
1632405600,24.525
1632409200,23.035
1632412800,22.15
1632416400,17.29
1632420000,13.3
1632423600,12.355
1632427200,12.705
1632430800,12.745
1632434400,12.88
1632438000,12.405
1632441600,12.09
1632445200,11.98
1632448800,11.815
1632452400,11.645
1632456000,11.255
1632459600,11.525
