unix_timestamp,value
1632423600,86.3
1632427200,86.85
1632430800,85.4
1632434400,85.1
1632438000,85.55
1632441600,86.45
1632445200,86.9
1632448800,86.8
1632452400,87.05
1632456000,88
1632459600,88
1632463200,81
1632466800,71.85
1632470400,61.4
1632474000,56.95
1632477600,53.35
1632481200,52.4
1632484800,50.2
1632488400,47.95
1632492000,48.45
1632495600,51.75
1632499200,54.8
1632502800,62.95
1632506400,74.05
1632510000,83.35
1632513600,85.9
1632517200,84.7
1632520800,85.8
1632524400,88.35
1632528000,90.65
1632531600,92.1
1632535200,92.65
1632538800,93.4
1632542400,94.25
1632546000,95.05
1632549600,92.7
1632553200,80.2
1632556800,72
1632560400,67.5
1632564000,63.55
1632567600,59.65
1632571200,57.85
1632574800,55.65
1632578400,54.95
1632582000,56.8
1632585600,63.8
1632589200,70.85
1632592800,80.55
1632596400,85.45
1632600000,89.3
1632603600,89.65
1632607200,88.6
1632610800,88.15
1632614400,88.1
1632618000,88.5
1632621600,88.7
1632625200,90.95
1632628800,93.05
1632632400,92.65
1632636000,90.3
1632639600,83.4
1632643200,77.25
1632646800,70.95
1632650400,66.3
1632654000,64
1632657600,68.55
1632661200,88.1
1632664800,92.7
1632668400,94
1632672000,94.85
1632675600,95.55
1632679200,96.25
1632682800,96.7
1632686400,96.95
1632690000,97.25
1632693600,97.4
1632697200,97.55
1632700800,97.65
1632704400,97.75
1632708000,97.85
1632711600,98
1632715200,98.1
1632718800,98.15
1632722400,98.2
1632726000,98.1
1632729600,97.1
1632733200,91.35
1632736800,84.05
1632740400,81.95
1632744000,79.4
1632747600,79.5
1632751200,80.6
1632754800,81.4
1632758400,83.45
1632762000,86.75
1632765600,89.55
1632769200,92.1
1632772800,93.3
1632776400,94.55
1632780000,95.35
1632783600,96
1632787200,96.4
1632790800,96.7
1632794400,96.95
1632798000,96.9
1632801600,96.4
1632805200,96.15
1632808800,95.35
1632812400,90.65
1632816000,83.35
1632819600,77.1
1632823200,70.05
1632826800,70.1
1632834000,65.7
1632837600,63.05
1632841200,62.25
1632844800,65.05
1632848400,81.75
1632852000,89
1632855600,90.7
1632859200,90.1
1632862800,89
1632866400,88.5
1632870000,87.45
1632873600,86.2
1632877200,85.2
1632880800,85.1
1632884400,84.35
1632888000,83.15
1632891600,81.75
1632895200,80.25
1632898800,75.05
1632902400,64.75
1632906000,62.4
1632909600,59.55
1632913200,57.4
1632916800,55.45
1632920400,54.05
1632924000,53.9
1632927600,55.05
1632931200,61.5
1632934800,77.05
1632938400,85.55
1632942000,86.6
1632945600,82.5
1632949200,81.85
1632952800,83.5
1632956400,84.95
1632960000,85.85
1632963600,86.35
1632967200,86.8
1632970800,87.7
1632974400,92.5
1632978000,94.6
1632981600,95.5
1632985200,96
1632988800,95.7
1632992400,88.8
1632996000,85.95
1632999600,79.3
1633003200,77.3
1633006800,71.65
1633010400,69.25
1633014000,68.55
1633017600,72.05
1633021200,82.1
1633024800,89.2
1633028400,92.1
1633032000,93.5
1633035600,94.5
