time_total_s,status,config__prototype,config__normalization__with_std,config__normalization__with_scaling,config__normalization__with_mean,config__normalization__with_centering,config__normalization__type,config__imputation__type,config__imputation__strategy,config__imputation__initial_strategy,config__imputation__imputation_order,config__features__type,config__features__n_components,config__features__k,config__classification__weights,config__classification__type,config__classification__solver,config__classification__n_neurons,config__classification__n_neighbors,config__classification__n_hidden_layers,config__classification__n_estimators,config__classification__min_samples_split,config__classification__metric,config__classification__max_leaf_nodes,config__classification__max_features,config__classification__max_depth,config__classification__learning_rate,config__classification__criterion,config__classification__bootstrap,config__classification__alpha,config__classification__activation,balanced_accuracy
0.08090591430664062,success,features_normalization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,7,,,,euclidean,,,,,,,,,0.6581349206349206
6.22225284576416,success,normalization_features_imputation_classification,,,,,PowerTransformer,FunctionTransformer,,,,FunctionTransformer,,,,MLPClassifier,sgd,100,,5,,,,,,,adaptive,,,1e-05,tanh,0.9904761904761905
0.619128942489624,success,features_normalization_imputation_classification,,True,,True,RobustScaler,FunctionTransformer,,,,PCA,4,,,RandomForestClassifier,,,,,50,5,,3,3,4,,gini,False,,,0.7887301587301587
1.9578399658203125,success,normalization_imputation_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,FunctionTransformer,,,,MLPClassifier,sgd,100,,1,,,,,,,adaptive,,,1e-05,tanh,0.9742857142857144
1.2059881687164307,success,imputation_features_normalization_classification,False,,True,,StandardScaler,SimpleImputer,most_frequent,,,PCA,1,,,AdaBoostClassifier,,,,,100,,,,,,0.001,,,,,0.6265079365079366
6.0615317821502686,success,normalization_features_imputation_classification,,,,,PowerTransformer,FunctionTransformer,,,,FunctionTransformer,,,,MLPClassifier,sgd,50,,10,,,,,,,adaptive,,,1e-05,tanh,0.9904761904761905
1.4284868240356445,success,normalization_imputation_features_classification,,,,,FunctionTransformer,IterativeImputer,,constant,descending,PCA,4,,,MLPClassifier,lbfgs,10,,5,,,,,,,constant,,,0.0001,relu,0.9015873015873016
1.33176851272583,success,features_imputation_normalization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,,AdaBoostClassifier,,,,,100,,,,,,0.001,,,,,0.7195238095238097
0.5085544586181641,success,imputation_features_normalization_classification,,,,,PowerTransformer,IterativeImputer,,most_frequent,ascending,PCA,7,,distance,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,,0.9628571428571429
1.7420766353607178,success,imputation_features_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,random,FunctionTransformer,,,,MLPClassifier,lbfgs,50,,1,,,,,,,constant,,,0.01,tanh,0.9374603174603175
0.5238475799560547,success,imputation_features_normalization_classification,,,,,PowerTransformer,IterativeImputer,,constant,ascending,PCA,7,,uniform,KNeighborsClassifier,,,8,,,,manhattan,,,,,,,,,0.9453571428571429
0.70180344581604,success,imputation_normalization_features_classification,,,,,PowerTransformer,IterativeImputer,,most_frequent,ascending,PCA,7,,distance,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,,0.9761904761904763
2.0238454341888428,success,imputation_normalization_features_classification,,,,,FunctionTransformer,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,,MLPClassifier,lbfgs,100,,1,,,,,,,adaptive,,,0.0001,relu,0.9442857142857143
0.6666040420532227,success,normalization_features_imputation_classification,False,,True,,StandardScaler,SimpleImputer,most_frequent,,,PCA,1,,,AdaBoostClassifier,,,,,50,,,,,,0.001,,,,,0.61984126984127
2.2015221118927,success,normalization_imputation_features_classification,,True,,False,RobustScaler,IterativeImputer,,constant,random,PCA,4,,,MLPClassifier,adam,5,,25,,,,,,,constant,,,0.01,tanh,0.9492063492063492
0.5526337623596191,success,normalization_features_imputation_classification,,True,,False,RobustScaler,IterativeImputer,,most_frequent,descending,FunctionTransformer,,,,AdaBoostClassifier,,,,,10,,,,,,1.0,,,,,0.8876190476190476
0.4631783962249756,success,imputation_features_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,6,distance,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,,0.9666666666666666
0.3083791732788086,success,imputation_features_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,7,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,,0.9523809523809523
0.8111574649810791,success,imputation_normalization_features_classification,False,,True,,StandardScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,,RandomForestClassifier,,,,,50,5,,5,1,1,,entropy,False,,,0.9952380952380953
0.9365119934082031,success,features_imputation_normalization_classification,True,,True,,StandardScaler,IterativeImputer,,most_frequent,random,FunctionTransformer,,,,RandomForestClassifier,,,,,75,5,,4,2,2,,gini,False,,,0.9790476190476192
0.4453723430633545,success,normalization_features_imputation_classification,False,,False,,StandardScaler,IterativeImputer,,constant,roman,FunctionTransformer,,,,RandomForestClassifier,,,,,25,4,,5,1,1,,entropy,False,,,0.9790476190476192
1.0850164890289307,success,imputation_features_normalization_classification,False,,True,,StandardScaler,IterativeImputer,,constant,random,FunctionTransformer,,,,RandomForestClassifier,,,,,100,3,,5,1,3,,entropy,False,,,0.9904761904761905
0.4469931125640869,success,imputation_normalization_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,5,distance,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,,0.9761904761904763
1.8693327903747559,success,normalization_features_imputation_classification,,True,,False,RobustScaler,IterativeImputer,,constant,random,PCA,5,,,MLPClassifier,sgd,10,,25,,,,,,,constant,,,0.01,relu,0.9595238095238094
0.6750717163085938,success,imputation_normalization_features_classification,,,,,PowerTransformer,IterativeImputer,,most_frequent,arabic,PCA,7,,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,,0.9761904761904763
1.9093754291534424,success,imputation_normalization_features_classification,,,,,FunctionTransformer,IterativeImputer,,constant,arabic,FunctionTransformer,,,,MLPClassifier,lbfgs,100,,1,,,,,,,adaptive,,,1e-05,relu,0.9501587301587302
1.0495638847351074,success,imputation_features_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,random,FunctionTransformer,,,,MLPClassifier,sgd,50,,1,,,,,,,constant,,,0.01,relu,0.9444444444444444
0.4469170570373535,success,imputation_normalization_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,6,distance,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,,0.9666666666666666
0.4465763568878174,success,normalization_features_imputation_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,4,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,,0.9571428571428571
0.5899844169616699,success,normalization_imputation_features_classification,,,,,PowerTransformer,IterativeImputer,,constant,arabic,PCA,7,,distance,KNeighborsClassifier,,,14,,,,manhattan,,,,,,,,,0.9761904761904763
0.19745135307312012,success,imputation_features_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,5,uniform,KNeighborsClassifier,,,9,,,,minkowski,,,,,,,,,0.961904761904762
0.34538698196411133,success,imputation_features_normalization_classification,False,,True,,StandardScaler,IterativeImputer,,most_frequent,descending,FunctionTransformer,,,,RandomForestClassifier,,,,,10,5,,5,1,1,,gini,False,,,0.891388888888889
0.6966204643249512,success,imputation_normalization_features_classification,,,,,PowerTransformer,IterativeImputer,,most_frequent,ascending,PCA,7,,distance,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,,0.9761904761904763
0.44901037216186523,success,imputation_normalization_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,5,distance,KNeighborsClassifier,,,11,,,,minkowski,,,,,,,,,0.9666666666666668
0.3196086883544922,success,imputation_features_normalization_classification,False,,True,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,,RandomForestClassifier,,,,,10,5,,5,1,1,,gini,False,,,0.891388888888889
1.0532495975494385,success,imputation_normalization_features_classification,False,,False,,StandardScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,,RandomForestClassifier,,,,,100,5,,4,1,1,,entropy,False,,,0.9753968253968255
0.5075442790985107,success,imputation_normalization_features_classification,,,,,FunctionTransformer,IterativeImputer,,most_frequent,roman,PCA,4,,,MLPClassifier,adam,5,,10,,,,,,,invscaling,,,1e-05,relu,0.6570634920634921
0.45113468170166016,success,imputation_normalization_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,7,distance,KNeighborsClassifier,,,11,,,,manhattan,,,,,,,,,0.9619047619047618
0.30100107192993164,success,features_normalization_imputation_classification,,,,,PowerTransformer,IterativeImputer,,constant,ascending,PCA,6,,uniform,KNeighborsClassifier,,,14,,,,manhattan,,,,,,,,,0.9491666666666669
0.3160400390625,success,features_normalization_imputation_classification,,,,,PowerTransformer,IterativeImputer,,most_frequent,ascending,PCA,6,,uniform,KNeighborsClassifier,,,11,,,,manhattan,,,,,,,,,0.9438095238095239
